Nome da Cidade e UF,
Possui Plano,A187
,
Instâncias de Gestão Democrática ,
Sistema Municipal de Ensino,A171
Fundo Municipal de Educação,A219
Conselho Municipal de Educação,A211
Conselho de Controle e Acompanhamento Social do FUNDEF,A181
Conselhos Escolares,A182
Conselho de Alimentação Escolar,A183
Conselho do Transporte Escolar,A184
,
O Plano Municipal de Educação incorpora educação em direitos humanos no currículo?,A188
,
Na rede municipal de ensino existe capacitação de professores em:,
Direitos Humanos,A189
Gênero,A190
Raça/etnia,A191
Orientação Sexual,A192
,
Na rede municipal de ensino existem escolas aptas a receber pessoas com deficiência?,A194
