ibge,csv_post_title,lng,lat,csv_post_post,csv_post_author,csv_post_slug,csv_post_type,A170,A171,A172,A173,A174,A175,A176,A177,A178,A179,A180,A181,A182,A183,A184,A185,A186,A187,A188,A189,A190,A191,A192,A193,A194,A195,A196,A197,A198,A199,A200,A201,A202,A203,A204,A205,A206,A207,A208,A209,A210,A211,A212,A213,A214,A215,A216,A217,A218,A219,A220,A221,A222,A223,A224,A740,A740A
110001,Alta Floresta D'Oeste - RO,-61.9951388,-11.9283778,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.9283778' lon='-61.99513880000001' z='11' width='300' height='300'],alta floresta doeste-ro,alta-floresta-doeste-ro,municipio,Secretaria exclusiva,Sim,Não aplicável,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não,Não,Sim,Não,Não,Não,20001 até 50000,4
110002,Ariquemes - RO,-63.0439731,-9.9137521,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-9.9137521' lon='-63.0439731' z='11' width='300' height='300'],ariquemes-ro,ariquemes-ro,municipio,Secretaria exclusiva,Sim,Não aplicável,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim,1998,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,50001 até 100000,5
110003,Cabixi - RO,-60.5410791,-13.4864112,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-13.4864112' lon='-60.5410791' z='11' width='300' height='300'],cabixi-ro,cabixi-ro,municipio,Secretaria em conjunto com outra política,Sim,Não aplicável,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não aplicável,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não,Não,Não,Não,Não,Não,5001 até 10000,2
110004,Cacoal - RO,-61.4476964,-11.4314923,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.4314923' lon='-61.4476964' z='11' width='300' height='300'],cacoal-ro,cacoal-ro,municipio,Secretaria exclusiva,Sim,Não aplicável,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2005,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,50001 até 100000,5
110005,Cerejeiras - RO,-60.8163618,-13.1891188,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-13.1891188' lon='-60.81636179999999' z='11' width='300' height='300'],cerejeiras-ro,cerejeiras-ro,municipio,Secretaria em conjunto com outra política,Sim,Não aplicável,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Não,Não,Sim,Não,10001 até 20000,3
110006,Colorado do Oeste - RO,-60.5445754,-13.1243261,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-13.1243261' lon='-60.5445754' z='11' width='300' height='300'],colorado do oeste-ro,colorado-do-oeste-ro,municipio,Secretaria em conjunto com outra política,Não,Vinculado ao sistema estadual,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não aplicável,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não,Não,Não,Não,Não,Não,10001 até 20000,3
110007,Corumbiara - RO,-60.8164744,-12.9644571,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-12.9644571' lon='-60.8164744' z='11' width='300' height='300'],corumbiara-ro,corumbiara-ro,municipio,Secretaria exclusiva,Sim,Não aplicável,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não aplicável,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2007,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,5001 até 10000,2
110008,Costa Marques - RO,-64.2320045,-12.4338681,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-12.4338681' lon='-64.2320045' z='11' width='300' height='300'],costa marques-ro,costa-marques-ro,municipio,Secretaria em conjunto com outra política,Sim,Não aplicável,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não aplicável,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,1996,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,10001 até 20000,3
110009,Espigão D'Oeste - RO,-61.0116206,-11.5256793,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.5256793' lon='-61.0116206' z='11' width='300' height='300'],espigão doeste-ro,espigão-doeste-ro,municipio,Secretaria exclusiva,Sim,Não aplicável,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Não,Não,Não,Não,20001 até 50000,4
